name,address,contact,email,areaOfWork,isBmcPartner,ward
Aadhar Samajik Vikas Seva Sahkar Sanstha,"29 , Sangram Nagar Kala Killa Dharavi Mumbai 400017",9821242437,aadharsamjikvikassevasahkarisa nstha@gmail.com,"Art & culture, Civic Issues, Education, Literacy and Environment.",true,SWM Department
Aadarsh Mahila Mandal,"Mukundrao Ambedkar Nagar, Aarey Dudh Vasshat Gat No. 32, Goregaon (East), Mumbai.",8097417059  / 9987775779,rajeshreedlakhan@gmail.com,"Upliftment of underprivileged women and children, empowering women and providing basic education.",true,SWM Department
Aarambh Shahar Star Sangh,"38/2763,Siddhivinayak Co Operative Society, Abhyudaya Nagar, Kalachowki,Mumbai 400033",9967464570,janhavi@456@gmail.com,"Women Empowerment,  Livelihood",true,F South Ward
Aarambh Vasti Star Sangh,Gauri Shankar Wadi 1-2 Panth Nagar Ghatkopar,9867842377,info@aarambh.org,Education,true,AC Planning
Abhilasha Foundation,"Laxmi Chhaya Bunglow, Plot No. 27-27, Rsc 11, Gorai 2, Borivali West Mumbai, Maharashtra",9769986440,info@abhilasha-foundation.org,Poverty Alleviation - 1. Orphanages 2. Senior Citizens Care- Old Age Homes 3. Women Welfare,false,Not working with BMC
Action Aid Association,"Flat No 15, B Wing,Kastur Mahal, Sion Circle East, Mumbai",8668445145,roshan.gajbhiye@actionaid.org,"Social And Ecological Justice, Engaged With The Most Marginalized Communities and strive for Equality,  Fraternity and Liberty For All.",true,Education Department
Adani Foundation,"6th Floor, Maker Chambers III, Nariman Point, Mumbai � 400021 (Main Headquarter is in Gujarat)",9029321023,mahesh.jadhav@adanifoundati on.com,Education,true,Education Department
Adarsh Mahila Mandal,"Shiv Shakti Nagar, G. J Bhosle Marga, Nariman Point,  Colaba, Mumbai -21",7977292277,officeabhishekshinde@gmail.co m / bigshow@gmail.com,Social welfare / women empowerment / rural development work,true,SWM Department
Aditya Birla Education Academy,"4th Floor, Vastu Shilp Annexe, Gamadia Colony, Jd Road Tardeo, Mumbai , Maharashtra 400007",7900169444,abea.project@abet.co.in,Education,false,Not working with BMC
Aim Taekwondo & Education Center,"Adarsh samajik pratisthan Takshashila budha vihar roali camp sardar nagar 4 Lila Bai kasbe marg near fire brigade sion Koli wada, Sion Koliwada, Maharashtra - 400022",7039846654,aimfitnesstkd@gmail.com,Self Defence And Self Development,false,Not working with BMC
